Id,SalePrice
1461,115228.655
1462,176986.7295
1463,176869.4354
1464,173639.2281
1465,167451.3416
1466,167929.6647
1467,155193.6175
1468,153727.9209
1469,177515.0514
1470,112340.6787
1471,175724.5918
1472,94840.5653
1473,105836.2406
1474,155241.9192
1475,104120.7168
1476,275560.8945
1477,206885.4201
1478,228195.6225
1479,246405.6335
1480,369596.4331
1481,272632.2181
1482,180736.0372
1483,177483.2986
1484,147918.8178
1485,145071.5569
1486,178876.6934
1487,289311.4195
1488,212963.9635
1489,159912.1964
1490,195483.4362
1491,172897.1174
1492,131054.5174
1493,200558.7904
1494,254183.1844
1495,252720.4924
1496,196708.7215
1497,172744.2816
1498,119499.3384
1499,119308.6848
1500,122210.5029
1501,153986.374
1502,105375.8297
1503,189124.4153
1504,195522.6888
1505,198171.5751
1506,246350.2487
1507,267031.6995
1508,221053.7856
1509,177077.8206
1510,161994.0857
1511,158838.7935
1512,201184.9882
1513,199958.3577
1514,232916.7961
1515,303113.9564
1516,177474.2696
1517,147847.0022
1518,214027.4217
1519,196536.837
1520,149014.2279
1521,158650.5256
1522,211147.4926
1523,145996.9886
1524,138707.6916
1525,125729.9355
1526,128749.1064
1527,126709.9923
1528,135833.5632
1529,153404.879
1530,185005.0579
1531,205439.6537
1532,118836.5018
1533,177118.4597
1534,138342.3483
1535,182597.9373
1536,152285.9554
1537,105652.9153
1538,170709.942
1539,240809.9835
1540,238107.1841
1541,159506.7566
1542,179375.3017
1543,224526.6825
1544,94890.1781
1545,115291.7316
1546,134919.3145
1547,162188.0307
1548,148553.1554
1549,104326.9676
1550,167216.4981
1551,137898.8972
1552,199669.9968
1553,162120.9495
1554,133190.4941
1555,226018.6023
1556,131077.1334
1557,173770.5621
1558,97640.63218
1559,196170.8033
1560,179251.51
1561,246862.9971
1562,113579.1256
1563,109643.2222
1564,181241.6823
1565,148355.6683
1566,200330.7601
1567,94832.26872
1568,217560.9466
1569,184168.7817
1570,140266.9253
1571,182226.205
1572,153519.2134
1573,203120.8655
1574,171747.6179
1575,190989.7572
1576,192567.2106
